entity,code,year,co2
Austria,AUT,2007,162
Belgium,BEL,2007,153
Denmark,DNK,2007,161
Finland,FIN,2007,178
France,FRA,2007,150
Germany,DEU,2007,169
Greece,GRC,2007,165
Ireland,IRL,2007,163
Italy,ITA,2007,147
Luxembourg,LUX,2007,165
Netherlands,NLD,2007,165
Portugal,PRT,2007,143
Spain,ESP,2007,155
Sweden,SWE,2007,183
United Kingdom,GBR,2007,164
