entity,code,year,co2
Austria,AUT,2003,163
Belgium,BEL,2003,158
Denmark,DNK,2003,171
Finland,FIN,2003,180
France,FRA,2003,155
Germany,DEU,2003,176
Greece,GRC,2003,168
Ireland,IRL,2003,168
Italy,ITA,2003,154
Luxembourg,LUX,2003,172
Netherlands,NLD,2003,177
Portugal,PRT,2003,150
Spain,ESP,2003,159
Sweden,SWE,2003,199
United Kingdom,GBR,2003,172
