entity,code,year,co2
Austria,AUT,2006,161
Belgium,BEL,2006,154
Denmark,DNK,2006,165
Finland,FIN,2006,180
France,FRA,2006,149
Germany,DEU,2006,172
Greece,GRC,2006,166
Ireland,IRL,2006,164
Italy,ITA,2006,149
Luxembourg,LUX,2006,167
Netherlands,NLD,2006,166
Portugal,PRT,2006,144
Spain,ESP,2006,156
Sweden,SWE,2006,189
United Kingdom,GBR,2006,166
