entity,code,year,co2
Austria,AUT,2010,146
Belgium,BEL,2010,137
Denmark,DNK,2010,136
Finland,FIN,2010,152
France,FRA,2010,133
Germany,DEU,2010,153
Greece,GRC,2010,144
Ireland,IRL,2010,132
Italy,ITA,2010,136
Luxembourg,LUX,2010,147
Netherlands,NLD,2010,137
Portugal,PRT,2010,129
Spain,ESP,2010,141
Sweden,SWE,2010,155
United Kingdom,GBR,2010,145
