entity,code,year,co2
Austria,AUT,2013,132
Belgium,BEL,2013,124
Denmark,DNK,2013,113
Finland,FIN,2013,131
France,FRA,2013,118
Germany,DEU,2013,135
Greece,GRC,2013,112
Ireland,IRL,2013,122
Italy,ITA,2013,120
Luxembourg,LUX,2013,133
Netherlands,NLD,2013,109
Norway,NOR,2013,123
Portugal,PRT,2013,113
Spain,ESP,2013,123
Sweden,SWE,2013,135
Switzerland,CHE,2013,144
United Kingdom,GBR,2013,128
