entity,code,year,co2
Austria,AUT,2012,137
Belgium,BEL,2012,132
Denmark,DNK,2012,119
Finland,FIN,2012,141
France,FRA,2012,126
Germany,DEU,2012,142
Greece,GRC,2012,122
Ireland,IRL,2012,125
Italy,ITA,2012,126
Luxembourg,LUX,2012,138
Netherlands,NLD,2012,120
Portugal,PRT,2012,120
Spain,ESP,2012,130
Sweden,SWE,2012,139
United Kingdom,GBR,2012,130
