entity,code,year,co2
Austria,AUT,2008,159
Belgium,BEL,2008,148
Denmark,DNK,2008,147
Finland,FIN,2008,164
France,FRA,2008,140
Germany,DEU,2008,165
Greece,GRC,2008,160
Ireland,IRL,2008,157
Italy,ITA,2008,146
Luxembourg,LUX,2008,159
Netherlands,NLD,2008,157
Portugal,PRT,2008,138
Spain,ESP,2008,151
Sweden,SWE,2008,174
United Kingdom,GBR,2008,158
