entity,code,year,co2
Austria,AUT,2002,163
Belgium,BEL,2002,161
Denmark,DNK,2002,170
Finland,FIN,2002,180
France,FRA,2002,157
Germany,DEU,2002,176
Greece,GRC,2002,167
Ireland,IRL,2002,168
Italy,ITA,2002,157
Luxembourg,LUX,2002,172
Netherlands,NLD,2002,172
Portugal,PRT,2002,153
Spain,ESP,2002,161
Sweden,SWE,2002,199
United Kingdom,GBR,2002,174
