entity,code,year,co2
Austria,AUT,2011,141
Belgium,BEL,2011,134
Denmark,DNK,2011,129
Finland,FIN,2011,146
France,FRA,2011,128
Germany,DEU,2011,147
Greece,GRC,2011,135
Ireland,IRL,2011,129
Italy,ITA,2011,130
Luxembourg,LUX,2011,144
Netherlands,NLD,2011,128
Portugal,PRT,2011,125
Spain,ESP,2011,136
Sweden,SWE,2011,146
United Kingdom,GBR,2011,139
