entity,code,year,co2
Austria,AUT,2001,166
Belgium,BEL,2001,164
Denmark,DNK,2001,175
Finland,FIN,2001,182
France,FRA,2001,161
Germany,DEU,2001,178
Greece,GRC,2001,167
Ireland,IRL,2001,169
Italy,ITA,2001,158
Luxembourg,LUX,2001,174
Netherlands,NLD,2001,173
Portugal,PRT,2001,157
Spain,ESP,2001,164
Sweden,SWE,2001,199
United Kingdom,GBR,2001,177
