Entity,code,Year,co2
Austria,AUT,2019,121
Belgium,BEL,2019,119
Denmark,DNK,2019,107
Finland,FIN,2019,112
France,FRA,2019,111
Germany,DEU,2019,130
Greece,GRC,2019,114
Ireland,IRL,2019,109
Italy,ITA,2019,118
Luxembourg,LUX,2019,129
Netherlands,NLD,2019,98
Norway,NOR,2019,52
Portugal,PRT,2019,103
Spain,ESP,2019,120
Sweden,SWE,2019,114
Switzerland,CHE,2019,134
Turkey,TUR,2019,119
United Kingdom,GBR,2019,127
