entity,code,year,co2
Italy,ITA,2005,"150,33359"
Italy,ITA,2006,"149,18033"
Italy,ITA,2007,"147,06389"
Italy,ITA,2008,"146,23531"
Italy,ITA,2009,"141,42795"
Italy,ITA,2010,"136,80672"
Italy,ITA,2011,"130,9547"
Italy,ITA,2012,"126,88437"
Italy,ITA,2013,"120,54856"
Italy,ITA,2014,"118,41456"
Italy,ITA,2015,"115,86053"
Italy,ITA,2016,"113,01109"
Italy,ITA,2017,"112,08198"
Italy,ITA,2018,"114,32877"
Italy,ITA,2019,"118,28439"
Luxembourg,LUX,2001,"174,55768"
Luxembourg,LUX,2002,"172,35586"
Luxembourg,LUX,2003,"172,56966"
Luxembourg,LUX,2004,"169,46403"
Luxembourg,LUX,2005,"167,25322"
Luxembourg,LUX,2006,"167,05543"
Luxembourg,LUX,2007,"165,02457"
Luxembourg,LUX,2008,"159,54486"
Luxembourg,LUX,2009,"152,93529"
Luxembourg,LUX,2010,"147,0129"
Luxembourg,LUX,2011,"143,9164"
Luxembourg,LUX,2012,"138,30226"
Luxembourg,LUX,2013,"133,31419"
Luxembourg,LUX,2014,"129,80998"
Luxembourg,LUX,2015,"127,91022"
Luxembourg,LUX,2016,"125,17842"
Luxembourg,LUX,2017,"126,80857"
Luxembourg,LUX,2018,"130,89679"
Luxembourg,LUX,2019,"129,55917"
Netherlands,NLD,2001,"173,60875"
Netherlands,NLD,2002,"172,80896"
Netherlands,NLD,2003,"177,91987"
Netherlands,NLD,2004,"172,93521"
Netherlands,NLD,2005,"169,47967"
Netherlands,NLD,2006,"166,41421"
Netherlands,NLD,2007,"165,70641"
Netherlands,NLD,2008,"157,28551"
Netherlands,NLD,2009,"148,94214"
Netherlands,NLD,2010,"137,85197"
Netherlands,NLD,2011,"128,35678"
Netherlands,NLD,2012,"120,29546"
Netherlands,NLD,2013,"109,08542"
Netherlands,NLD,2014,"107,43627"
Netherlands,NLD,2015,"101,55318"
Netherlands,NLD,2016,"108,81237"
Netherlands,NLD,2017,"109,39214"
Netherlands,NLD,2018,"106,39954"
Netherlands,NLD,2019,"987,99167"
Norway,NOR,2013,"123,27717"
Norway,NOR,2014,"109,09099"
Norway,NOR,2015,"994,06716"
Norway,NOR,2016,"932,71331"
Norway,NOR,2017,"831,53856"
Norway,NOR,2018,"738,96823"
Norway,NOR,2019,"525,96222"
Portugal,PRT,2001,"157,2185"
Portugal,PRT,2002,"153,3946"
Portugal,PRT,2003,"150,82944"
Portugal,PRT,2004,"147,46822"
Portugal,PRT,2005,"145,72614"
Portugal,PRT,2006,"144,82533"
Portugal,PRT,2007,"143,26543"
Portugal,PRT,2008,"138,51824"
Portugal,PRT,2009,"134,01179"
Portugal,PRT,2010,"129,20567"
Portugal,PRT,2011,"125,66494"
Portugal,PRT,2012,"120,18249"
Portugal,PRT,2013,"113,14225"
Portugal,PRT,2014,"109,49568"
Portugal,PRT,2015,"105,7287"
Portugal,PRT,2016,"104,40033"
Portugal,PRT,2017,"104,65555"
Portugal,PRT,2018,"104,70722"
Portugal,PRT,2019,"103,27705"
Spain,ESP,2001,"164,72638"
Spain,ESP,2002,"161,74661"
Spain,ESP,2003,"159,79924"
Spain,ESP,2004,"157,79817"
Spain,ESP,2005,"156,99039"
Spain,ESP,2006,"156,81542"
Spain,ESP,2007,"155,71928"
Spain,ESP,2008,"151,13985"
Spain,ESP,2009,"145,37271"
Spain,ESP,2010,"141,17278"
Spain,ESP,2011,"136,92573"
Spain,ESP,2012,"130,22799"
Spain,ESP,2013,"123,54216"
Spain,ESP,2014,"119,10954"
Spain,ESP,2015,"116,27345"
Spain,ESP,2016,"114,5895"
Spain,ESP,2017,"114,82286"
Spain,ESP,2018,"118,81763"
Spain,ESP,2019,"120,97701"
Sweden,SWE,2001,"199,86507"
Sweden,SWE,2002,"199,21323"
Sweden,SWE,2003,"199,54298"
Sweden,SWE,2004,"197,17949"
Sweden,SWE,2005,"194,4476"
Sweden,SWE,2006,"189,24894"
Sweden,SWE,2007,"183,28726"
Sweden,SWE,2008,"174,6047"
Sweden,SWE,2009,"165,61492"
Sweden,SWE,2010,"155,09706"
Sweden,SWE,2011,"146,24475"
Sweden,SWE,2012,"139,01984"
Sweden,SWE,2013,"135,39886"
Sweden,SWE,2014,"131,22048"
Sweden,SWE,2015,"127,66735"
Sweden,SWE,2016,"123,64411"
Sweden,SWE,2017,"122,14155"
Sweden,SWE,2018,"121,92362"
Sweden,SWE,2019,"114,67745"
Switzerland,CHE,2013,"144,70824"
Switzerland,CHE,2014,"141,34235"
Switzerland,CHE,2015,"134,66156"
Switzerland,CHE,2016,"132,94614"
Switzerland,CHE,2017,"133,77592"
Switzerland,CHE,2018,"136,21707"
Switzerland,CHE,2019,"134,61725"
Turkey,TUR,2014,"120,04288"
Turkey,TUR,2015,"118,40801"
Turkey,TUR,2016,"115,13359"
Turkey,TUR,2017,"116,85092"
Turkey,TUR,2018,"119,23489"
Turkey,TUR,2019,"119,7365"
United Kingdom,GBR,2001,"177,17179"
United Kingdom,GBR,2002,"174,01465"
United Kingdom,GBR,2003,"172,9303"
United Kingdom,GBR,2004,"172,46507"
United Kingdom,GBR,2005,"169,88553"
United Kingdom,GBR,2006,"166,15389"
United Kingdom,GBR,2007,"164,83087"
United Kingdom,GBR,2008,"158,11016"
United Kingdom,GBR,2009,"150,58875"
United Kingdom,GBR,2010,"145,41398"
United Kingdom,GBR,2011,"139,20062"
United Kingdom,GBR,2012,"130,27259"
United Kingdom,GBR,2013,"128,07349"
United Kingdom,GBR,2014,"124,03547"
United Kingdom,GBR,2015,"121,42634"
United Kingdom,GBR,2016,"119,53904"
United Kingdom,GBR,2017,"120,84434"
United Kingdom,GBR,2018,"126,03523"
United Kingdom,GBR,2019,"127,99297"
