entity,id,year,co2
Spain,724,2005,156
Spain,724,2006,156
Spain,724,2007,155
Spain,724,2008,151
Spain,724,2009,145
Spain,724,2010,141
Spain,724,2011,136
Spain,724,2012,130
Spain,724,2013,123
Spain,724,2014,119
Spain,724,2015,116
Spain,724,2016,114
Spain,724,2017,11
Spain,724,2018,118
Spain,724,2019,120
Sweden,752,2001,199
Sweden,752,2002,199
Sweden,752,2003,199
Sweden,752,2004,197
Sweden,752,2005,194
Sweden,752,2006,189
Sweden,752,2007,183
Sweden,752,2008,174
Sweden,752,2009,165
Sweden,752,2010,155
Sweden,752,2011,146
Sweden,752,2012,139
Sweden,752,2013,135
Sweden,752,2014,131
Sweden,752,2015,127
Sweden,752,2016,123
Sweden,752,2017,122
Sweden,752,2018,121
Sweden,752,2019,114
Switzerland,756,2013,144
Switzerland,756,2014,141
Switzerland,756,2015,134
Switzerland,756,2016,132
Switzerland,756,2017,133
Switzerland,756,2018,136
Switzerland,756,2019,134
Turkey,792,2014,120
Turkey,792,2015,118
Turkey,792,2016,115
Turkey,792,2017,116
Turkey,792,2018,119
Turkey,792,2019,119
United Kingdom,826,2001,177
United Kingdom,826,2002,174
United Kingdom,826,2003,172
United Kingdom,826,2004,172
United Kingdom,826,2005,169
United Kingdom,826,2006,166
United Kingdom,826,2007,164
United Kingdom,826,2008,158
United Kingdom,826,2009,150
United Kingdom,826,2010,145
United Kingdom,826,2011,139
United Kingdom,826,2012,130
United Kingdom,826,2013,128
United Kingdom,826,2014,124
United Kingdom,826,2015,121
United Kingdom,826,2016,119
United Kingdom,826,2017,120
United Kingdom,826,2018,126
United Kingdom,826,2019,127
